name,country_code,state_code,region,city,market_category,market,founded_at,funding_total_usd,funding_rounds,first_funding_at,last_funding_at,status,seed,venture,equity_crowdfunding,undisclosed,convertible_note,debt_financing,angel,grant,private_equity,post_ipo_equity,post_ipo_debt,secondary_market,product_crowdfunding,round_A,round_B,round_C,round_D,round_E,round_F,round_G,round_H
Compete,USA,MA,Boston,Boston,Advertising & Marketing, Advertising ,2000-01-01,62000000.0,4.0,2000-11-01,2007-08-01,acquired,,33000000.0,,,,,,,,,,,,6000000.0,13000000.0,10000000.0,,,,,
Competitive Power Ventures,USA,MD,"Washington, D.C.",Silver Spring,Clean Tech & Energy, Clean Technology ,1999-01-01,19460000.0,1.0,2008-05-30,2008-05-30,operating,,19460000.0,,,,,,,,,,,,,,,,,,,
Competitive Technologies,USA,CT,Hartford,Fairfield,,,,550125.0,1.0,2011-12-21,2011-12-21,,,550125.0,,,,,,,,,,,,,,,,,,,
Competitor,CHN,,Beijing,Beijing,Healthcare, Health and Wellness ,2001-01-01,3660322.0,2.0,2008-04-01,2010-02-01,operating,,,,3660322.0,,,,,,,,,,,,,,,,,
Compiere,USA,CA,SF Bay Area,Redwood Shores,Software & SaaS, Enterprise Software ,,12000000.0,1.0,2006-06-20,2006-06-20,operating,,6000000.0,,,,,,,,,,,,6000000.0,,,,,,,
Complete Genomics,USA,CA,SF Bay Area,Mountain View,Biotechnology, Life Sciences ,2007-01-01,194490061.0,4.0,2006-03-28,2010-08-19,operating,,90000000.0,,,,14490061.0,,,,,,,,6000000.0,,,45000000.0,39000000.0,,,
Complete Holdings Group,USA,TN,Nashville,Franklin,Software & SaaS, Software ,2000-01-01,6505000.0,2.0,2011-05-10,2012-08-21,operating,,1225000.0,,,,,,,5280000.0,,,,,,,,,,,,
Complete Labs,USA,CA,SF Bay Area,Palo Alto,Social & Communication, Communities ,2014-02-01,500000.0,1.0,2014-06-01,2014-06-01,operating,500000.0,,,,,,,,,,,,,,,,,,,,
Complete Network Technology,,,,,Software & SaaS, Web Hosting ,2001-01-01,5630000.0,1.0,2007-09-24,2007-09-24,acquired,,5630000.0,,,,,,,,,,,,,,,,,,,
Complete Solar,USA,CA,SF Bay Area,San Mateo,Clean Tech & Energy, Clean Technology ,2002-01-01,5000000.0,2.0,2011-07-26,2014-03-11,operating,,5000000.0,,,,,,,,,,,,,,,,,,,
CompleteCar.com,,,,,E-Commerce & Retail, E-Commerce ,1999-03-05,300000.0,1.0,1999-03-30,1999-03-30,operating,300000.0,,,,,,,,,,,,,,,,,,,,
CompleteSet,USA,OH,Cincinnati,Cincinnati,Other, Collectibles ,2012-09-20,684000.0,5.0,2012-04-01,2014-12-01,operating,665000.0,,,,,,4000.0,15000.0,,,,,,,,,,,,,
Complex Media,USA,NY,New York City,New York,Entertainment & Media, Games ,2002-01-01,41247390.0,3.0,2009-12-03,2013-09-23,operating,,39533695.0,,,,,,,,,,,,1713695.0,,,,,,,
Complex Polygon,USA,CA,SF Bay Area,San Francisco,Mobile, Apps ,,1700000.0,1.0,2014-10-10,2014-10-10,operating,1700000.0,,,,,,,,,,,,,,,,,,,,
Complexa,USA,PA,Pittsburgh,Pittsburgh,Biotechnology, Biotechnology ,2008-01-01,34948952.0,6.0,2012-05-23,2014-06-05,operating,200000.0,16808205.0,,,,3175000.0,,,,,,,,,14765747.0,,,,,,
ComplexCare Solutions,USA,NY,New York City,New York,Healthcare, Health and Wellness ,,40000000.0,1.0,2014-01-09,2014-01-09,operating,,40000000.0,,,,,,,,,,,,,,,,,,,
Compliance 11,USA,IL,Chicago,Chicago,Finance & FinTech, Finance ,2005-01-01,12530000.0,3.0,2006-10-31,2011-01-31,acquired,,,,12530000.0,,,,,,,,,,,,,,,,,
Compliance 360,USA,GA,Atlanta,Alpharetta,Software & SaaS, Software ,2000-01-01,5517360.0,2.0,2007-05-02,2009-02-26,operating,,3317360.0,,,,,,,,,,,,,2200000.0,,,,,,
Compliance Assurance,USA,PA,Pittsburgh,Pittsburgh,Software & SaaS, Software ,,1250000.0,1.0,2011-03-15,2011-03-15,acquired,,1250000.0,,,,,,,,,,,,,,,,,,,
Compliance Control,GBR,,Cheshire,,Software & SaaS, Consulting ,,177435.0,1.0,2012-10-01,2012-10-01,operating,,,,177435.0,,,,,,,,,,,,,,,,,
Compliance Science,USA,NY,New York City,New York,E-Commerce & Retail, Curated Web ,,16500000.0,1.0,2014-01-08,2014-01-08,operating,,8250000.0,,,,,,,,,,,,8250000.0,,,,,,,
Complix,BEL,,Brussels,Diepenbeek,Biotechnology, Biotechnology ,2008-01-01,48799600.0,3.0,2010-06-10,2013-06-26,operating,,24399800.0,,,,,,,,,,,,8960600.0,15439200.0,,,,,,
Comply Serve,GBR,,Solihull,Solihull,Software & SaaS, Software ,,1166969.0,2.0,2009-03-23,2012-03-19,operating,,,,1166969.0,,,,,,,,,,,,,,,,,
Comply365,USA,WI,Milwaukee,Beloit,Software & SaaS, Enterprise Software ,2007-10-01,26000000.0,2.0,2011-09-01,2014-10-07,operating,,12000000.0,,,,,2000000.0,,,,,,,12000000.0,,,,,,,
ComplyMD,USA,AL,Birmingham,Birmingham,Software & SaaS, Software ,,1130000.0,1.0,2011-12-27,2011-12-27,operating,1130000.0,,,,,,,,,,,,,,,,,,,,
Compology,USA,CA,SF Bay Area,San Francisco,Clean Tech & Energy, Clean Technology ,2012-01-01,525000.0,1.0,2014-04-13,2014-04-13,,,,,,,525000.0,,,,,,,,,,,,,,,
ComponentLab,USA,WA,Seattle,Seattle,Software & SaaS, Software ,,1296000.0,3.0,2012-07-09,2014-03-10,operating,,851000.0,,,445000.0,,,,,,,,,,,,,,,,
Compose,USA,CA,SF Bay Area,Mountain View,Social & Communication, Networking ,2011-01-01,12417000.0,2.0,2011-06-24,2012-10-19,operating,417000.0,6000000.0,,,,,,,,,,,,6000000.0,,,,,,,
Composeright,AUS,,AUS - Other,Buderim,Entertainment & Media, Publishing ,2012-01-01,250000.0,1.0,2012-08-01,2012-08-01,operating,250000.0,,,,,,,,,,,,,,,,,,,,
Composite Software,USA,CA,SF Bay Area,San Mateo,Other, Web CMS ,2002-01-01,29300006.0,3.0,2002-01-01,2012-10-24,acquired,,14650003.0,,,,,,,,,,,,,,,14650003.0,,,,
Compound Semiconductor Technologies,GBR,,Hamilton,Hamilton,Hardware & Semiconductors, Semiconductors ,1999-01-01,8589492.0,2.0,2009-05-27,2013-04-20,operating,,8589492.0,,,,,,,,,,,,,,,,,,,
Compound Time,USA,NY,New York City,Brooklyn,Entertainment & Media, Music ,2010-12-01,40000.0,1.0,2012-04-10,2012-04-10,operating,40000.0,,,,,,,,,,,,,,,,,,,,
Comprehend Systems,USA,CA,SF Bay Area,Redwood City,Software & SaaS, Enterprise Software ,2010-01-01,60000000.0,3.0,2011-11-08,2014-08-18,operating,1200000.0,29400000.0,,,,,,,,,,,,8400000.0,21000000.0,,,,,,
Comprehensive Care,USA,FL,Tampa,Tampa,Biotechnology, Biotechnology ,1969-01-01,1800000.0,1.0,2011-09-14,2011-09-14,,1800000.0,,,,,,,,,,,,,,,,,,,,
Compression Kinetics,USA,TN,Memphis,Memphis,,,2014-05-14,50000.0,1.0,2014-05-15,2014-05-15,operating,50000.0,,,,,,,,,,,,,,,,,,,,
Compressus,USA,DC,"Washington, D.C.",Washington,Biotechnology, Biotechnology ,2000-01-01,8147860.0,1.0,2009-06-11,2009-06-11,operating,,8147860.0,,,,,,,,,,,,,,,,,,,
Comprimato,CZE,,Prague,Brno,Entertainment & Media, Digital Media ,,1525545.0,2.0,2013-10-22,2014-09-29,operating,257320.0,1268225.0,,,,,,,,,,,,,,,,,,,
Compring,ESP,,Barcelona,Barcelona,E-Commerce & Retail, Shopping ,2011-01-01,386670.0,1.0,2012-10-10,2012-10-10,operating,,,,,,,386670.0,,,,,,,,,,,,,,
compropago,,,,,,,,10000.0,1.0,2013-09-01,2013-09-01,operating,10000.0,,,,,,,,,,,,,,,,,,,,
CompStak,USA,NY,New York City,New York,Analytics & AI, Big Data ,2011-07-01,18840000.0,4.0,2012-10-18,2014-11-17,operating,1140000.0,8850000.0,,,,,,,,,,,,8850000.0,,,,,,,
ComptTIA,USA,IL,Chicago,Chicago,Other, Nonprofits ,,70000.0,1.0,2012-04-04,2012-04-04,operating,,,,,,,,70000.0,,,,,,,,,,,,,
CompuCom Systems Holding,USA,MA,Boston,Boston,Advertising & Marketing, Public Relations ,2007-01-01,323000000.0,1.0,2013-05-24,2013-05-24,operating,,,,,,,,,323000000.0,,,,,,,,,,,,
Compufirst,,,,,E-Commerce & Retail, E-Commerce ,,1560000.0,1.0,2008-05-12,2008-05-12,operating,,1560000.0,,,,,,,,,,,,,,,,,,,
Compumatrix,USA,NV,Las Vegas,Las Vegas,Finance & FinTech, Finance Technology ,2006-11-22,30400000.0,2.0,2012-12-20,2014-03-15,operating,,15000000.0,,,,,,,400000.0,,,,,15000000.0,,,,,,,
CompuMed,USA,CA,Los Angeles,Los Angeles,,,,120000.0,1.0,2010-04-07,2010-04-07,operating,,120000.0,,,,,,,,,,,,,,,,,,,
CompuPay,USA,FL,Pensacola,Miramar Beach,Software & SaaS, Human Resources ,1980-01-01,20000000.0,1.0,2009-12-01,2009-12-01,operating,,20000000.0,,,,,,,,,,,,,,,,,,,
Compute,USA,WA,Seattle,Seattle,Other, Nonprofits ,2005-02-03,5000000.0,1.0,2005-02-03,2005-02-03,operating,,,,,,,,5000000.0,,,,,,,,,,,,,
"CompuTEK Industries, LLC.",USA,CO,Colorado Springs,Colorado Springs,Other, WebOS ,2003-03-10,2000.0,1.0,2011-09-16,2011-09-16,operating,2000.0,,,,,,,,,,,,,,,,,,,,
ComputeNext,USA,WA,Seattle,Bellevue,Software & SaaS, Software ,2010-01-01,4000000.0,1.0,2014-03-05,2014-03-05,operating,,4000000.0,,,,,,,,,,,,,,,,,,,
Computer Software Innovations,USA,SC,Greenville - Spartanburg,Easley,Software & SaaS, Software ,1989-01-01,11250.0,1.0,2009-05-29,2009-05-29,operating,,11250.0,,,,,,,,,,,,,,,,,,,
Computerlogy,THA,,THA - Other,Chonburi,Social & Communication, Social Media Monitoring ,2009-01-01,1864000.0,1.0,2013-09-20,2013-09-20,operating,,932000.0,,,,,,,,,,,,932000.0,,,,,,,
Computime,USA,MO,St. Louis,St Louis,Software & SaaS, Consulting ,,2000000.0,1.0,2009-10-20,2009-10-20,operating,,2000000.0,,,,,,,,,,,,,,,,,,,
ComQi,USA,NY,New York City,New York,Software & SaaS, Enterprise Software ,2011-01-01,56000000.0,2.0,2007-10-09,2008-09-30,operating,,28000000.0,,,,,,,,,,,,10000000.0,18000000.0,,,,,,
Comr.se,USA,WA,Seattle,Seattle,E-Commerce & Retail, E-Commerce ,2012-03-14,2941000.0,2.0,2014-01-30,2014-07-21,operating,2941000.0,,,,,,,,,,,,,,,,,,,,
COMS Interactive,USA,OH,Akron - Canton,Hudson,Biotechnology, Biotechnology ,,30801002.0,2.0,2011-11-09,2013-06-18,operating,,25900501.0,,,,,,,,,,,,,4900501.0,,,,,,
comScore,USA,VA,"Washington, D.C.",Reston,Software & SaaS, Business Services ,1999-08-01,133839769.0,4.0,2000-09-01,2010-07-01,operating,,68239769.0,,,,,,,,,,,,30600000.0,,15000000.0,20000000.0,,,,
ComSense Technology,USA,OH,Cleveland,Cleveland,,,,195607.0,1.0,2005-12-02,2005-12-02,operating,195607.0,,,,,,,,,,,,,,,,,,,,
Comsenz,CHN,,Beijing,Beijing,Other, Service Providers ,,4000000.0,1.0,2006-07-24,2006-07-24,acquired,,2000000.0,,,,,,,,,,,,2000000.0,,,,,,,
Comtica,POL,,Warsaw,Warsaw,Software & SaaS, Software ,,155000.0,1.0,2005-04-11,2005-04-11,acquired,,155000.0,,,,,,,,,,,,,,,,,,,
Comuni-Chiamo,ITA,,Bologna,Bologna,,,2011-01-01,40000.0,1.0,2013-11-20,2013-11-20,operating,40000.0,,,,,,,,,,,,,,,,,,,,
Comunitae,ESP,,Madrid,Madrid,Finance & FinTech, Credit ,2008-05-01,9614200.0,2.0,2009-07-01,2012-01-18,operating,,4807100.0,,,,,,,,,,,,3524000.0,1283100.0,,,,,,
Comunitee,,,,,Social & Communication, Social Media ,2011-01-01,130000.0,1.0,2011-05-06,2011-05-06,operating,,,,,,,130000.0,,,,,,,,,,,,,,
Comuto,FRA,,Paris,Paris,E-Commerce & Retail, Curated Web ,2006-01-01,1540000.0,1.0,2010-06-23,2010-06-23,operating,,1540000.0,,,,,,,,,,,,,,,,,,,
Comverging Technologies,USA,WA,Seattle,Seattle,,,2008-01-01,5710000.0,1.0,2010-09-07,2010-09-07,operating,,5710000.0,,,,,,,,,,,,,,,,,,,
Comviva,USA,IN,IN - Other,,Mobile, Mobile ,,27000000.0,1.0,2005-12-04,2005-12-04,operating,,13500000.0,,,,,,,,,,,,13500000.0,,,,,,,
CoNarrative,USA,CA,Sacramento,Granite Bay,Software & SaaS, Software ,2012-05-01,400000.0,1.0,2013-01-01,2013-01-01,operating,400000.0,,,,,,,,,,,,,,,,,,,,
Conatus Pharmaceuticals,USA,CA,San Diego,San Diego,Healthcare, Health Care ,,61001551.0,4.0,2010-10-28,2013-06-12,operating,,28501551.0,,,,5000000.0,,,,,,,,,27500000.0,,,,,,
Concealium Software,,,,,Security, Security ,2009-06-01,500000.0,1.0,2009-05-27,2009-05-27,operating,500000.0,,,,,,,,,,,,,,,,,,,,
Concept Inbox,ESP,,Madrid,Madrid,Other, Reviews and Recommendations ,2012-01-01,52430.0,1.0,2013-05-05,2013-05-05,operating,52430.0,,,,,,,,,,,,,,,,,,,,
Concept.io,USA,CA,SF Bay Area,Mountain View,Other, Personalization ,2012-01-01,12600000.0,2.0,2012-01-01,2013-07-18,acquired,1800000.0,5400000.0,,,,,,,,,,,,5400000.0,,,,,,,
Concept3D,USA,CO,Denver,Boulder,Software & SaaS, Software ,,2500000.0,1.0,2014-05-15,2014-05-15,operating,,1250000.0,,,,,,,,,,,,,1250000.0,,,,,,
Concepta Diagnostics,GBR,,London,Bedford,Healthcare, Health Care ,,3922003.0,1.0,2014-07-24,2014-07-24,operating,3922003.0,,,,,,,,,,,,,,,,,,,,
ConceptoMed,NOR,,NOR - Other,Ballstad,Healthcare, Health Care ,2012-03-07,1473577.0,2.0,2013-02-15,2013-05-15,operating,,,,,,,,669577.0,804000.0,,,,,,,,,,,,
Conceptua Math,USA,CA,Napa Valley,Petaluma,Software & SaaS, Software ,2009-01-01,2075000.0,1.0,2012-05-21,2012-05-21,operating,2075000.0,,,,,,,,,,,,,,,,,,,,
ConcernTrak,USA,VA,Richmond,Richmond,Software & SaaS, Enterprise Software ,2008-01-01,40000.0,1.0,2011-07-21,2011-07-21,operating,40000.0,,,,,,,,,,,,,,,,,,,,
Concert Pharmaceuticals,USA,MA,Boston,Lexington,Healthcare, Health Care ,2006-01-01,195000000.0,4.0,2006-07-17,2011-06-20,operating,,99500000.0,,,,,,,,,,,,10000000.0,48500000.0,37000000.0,,,,,
Concert Window,USA,NY,New York City,New York,E-Commerce & Retail, Curated Web ,2010-09-01,415000.0,1.0,2014-02-25,2014-02-25,operating,,,,,,415000.0,,,,,,,,,,,,,,,
Concilio Labs,USA,VA,"Washington, D.C.",Mclean,Healthcare, Hospitality ,2013-11-01,500000.0,1.0,2014-10-01,2014-10-01,operating,500000.0,,,,,,,,,,,,,,,,,,,,
Concilio Networks,USA,CA,SF Bay Area,Santa Clara,,,,1273700.0,1.0,2006-10-03,2006-10-03,operating,,1273700.0,,,,,,,,,,,,,,,,,,,
ConCloud,DEU,,Frankfurt,Frankfurt Am Main,Software & SaaS, Cloud Computing ,2014-02-28,100000.0,1.0,2014-02-28,2014-02-28,operating,100000.0,,,,,,,,,,,,,,,,,,,,
Conclusive Analytics,USA,NC,Charlotte,Charlotte,Analytics & AI, Analytics ,2000-01-01,12000000.0,5.0,2006-11-17,2013-11-01,operating,,12000000.0,,,,,,,,,,,,,,,,,,,
Concorde Solutions,GBR,,West Berkshire,,Software & SaaS, Software ,,4053915.0,2.0,2011-11-24,2014-04-28,,,2500000.0,,1553915.0,,,,,,,,,,,,,,,,,
Concordia Coffee Systems,USA,WA,Seattle,Bellevue,Manufacturing & Logistics, Manufacturing ,1990-01-01,13000000.0,1.0,2012-02-06,2012-02-06,operating,,6500000.0,,,,,,,,,,,,6500000.0,,,,,,,
Concordia Healthcare,CAN,ON,Toronto,Oakville,Healthcare, Health and Wellness ,,72658074.0,2.0,2013-12-30,2014-03-11,,,5058074.0,,,,,,,,67600000.0,,,,,,,,,,,
Concuity,USA,IL,Chicago,Vernon Hills,Software & SaaS, Software ,,5000000.0,1.0,2006-04-26,2006-04-26,acquired,,2500000.0,,,,,,,,,,,,,,,,2500000.0,,,
Concur Japan,JPN,,Tokyo,Tokyo,Software & SaaS, Cloud Computing ,2011-01-01,30000000.0,3.0,2011-02-10,2013-12-28,operating,,15000000.0,,,,,,,,,,,,5000000.0,10000000.0,,,,,,
Concur Technologies,USA,WA,Seattle,Redmond,Travel & Hospitality, Travel ,1993-08-01,291754092.0,2.0,2009-08-17,2010-04-08,acquired,,4254092.0,,,,287500000.0,,,,,,,,,,,,,,,
Concurix Corporation,USA,WA,Seattle,Kirkland,Software & SaaS, Software ,2012-03-22,3000000.0,2.0,2012-03-22,2014-03-14,,1000000.0,2000000.0,,,,,,,,,,,,,,,,,,,
Concurrent Inc,USA,CA,SF Bay Area,San Francisco,Other, Application Performance Monitoring ,2008-01-01,28900000.0,3.0,2011-04-10,2014-06-02,operating,900000.0,14000000.0,,,,,,,,,,,,4000000.0,10000000.0,,,,,,
Concurrent Thinking,GBR,,Warwick,Warwick,Software & SaaS, Software ,,5902201.0,3.0,2006-10-25,2014-04-08,operating,,5902201.0,,,,,,,,,,,,,,,,,,,
Condition One,USA,CA,SF Bay Area,Palo Alto,Finance & FinTech, Finance ,2010-10-01,2350000.0,3.0,2012-01-01,2012-10-15,operating,2350000.0,,,,,,,,,,,,,,,,,,,,
CondoDomain,USA,NY,New York City,New York,Real Estate, Real Estate ,2005-10-01,250000.0,1.0,2005-06-01,2005-06-01,operating,250000.0,,,,,,,,,,,,,,,,,,,,
Condomani,ITA,,Bologna,Bologna,Social & Communication, Social Media ,2013-03-08,128660.0,1.0,2014-04-01,2014-04-01,operating,,128660.0,,,,,,,,,,,,,,,,,,,
Conductiv,USA,WA,Seattle,Bothell,Software & SaaS, Software ,2009-01-01,20000000.0,1.0,2013-08-14,2013-08-14,operating,,10000000.0,,,,,,,,,,,,,,10000000.0,,,,,
Conductor,USA,NY,New York City,New York,Entertainment & Media, Digital Media ,2010-06-15,66248126.0,4.0,2006-12-26,2012-10-31,operating,,32600000.0,,,,1048126.0,,,,,,,,2600000.0,10000000.0,20000000.0,,,,,
Conductrics,USA,NY,New York City,Brooklyn,Advertising & Marketing, Sales and Marketing ,,210000.0,2.0,2012-01-01,2012-11-01,operating,210000.0,,,,,,,,,,,,,,,,,,,,
Conduit,USA,CA,SF Bay Area,Foster City,Other, Browser Extensions ,2005-01-01,119600000.0,3.0,2006-07-01,2012-04-12,operating,,9800000.0,,,,,,,100000000.0,,,,,1800000.0,8000000.0,,,,,,
Conduit Labs,USA,MA,Boston,Cambridge,Entertainment & Media, Music ,,17000000.0,2.0,2007-08-01,2009-09-15,acquired,,8500000.0,,,,,,,,,,,,5500000.0,3000000.0,,,,,,
Conecta 2,USA,CA,SF Bay Area,Palo Alto,Software & SaaS, Consulting ,2012-06-06,15000.0,1.0,2007-06-01,2007-06-01,closed,,,,,,,15000.0,,,,,,,,,,,,,,
Conecte Link,BRA,,Sao Paulo,São Paulo,Software & SaaS, Consulting ,1999-01-01,6000.0,1.0,2011-02-01,2011-02-01,operating,,,,,,,,,6000.0,,,,,,,,,,,,
Conekta,MEX,,Mexico City,Mexico City,Software & SaaS, Developer APIs ,2012-10-10,295000.0,2.0,2011-10-15,2013-06-13,operating,295000.0,,,,,,,,,,,,,,,,,,,,
Conelum,LVA,,Riga,Riga,Biotechnology, Biotechnology ,2012-01-01,257320.0,1.0,2013-09-11,2013-09-11,operating,257320.0,,,,,,,,,,,,,,,,,,,,
Conex Med,USA,ID,ID - Other,Meridian,Biotechnology, Biotechnology ,,200000.0,1.0,2010-11-16,2010-11-16,operating,,200000.0,,,,,,,,,,,,,,,,,,,
CONEXANCE MD,FRA,,FRA - Other,Eurville,Advertising & Marketing, Advertising ,,1100000.0,1.0,2006-03-20,2006-03-20,operating,,1100000.0,,,,,,,,,,,,,,,,,,,
Conexus-IT,USA,NY,New York City,New York,Social & Communication, Private Social Networking ,2011-01-01,500000.0,1.0,2011-01-01,2011-01-01,closed,500000.0,,,,,,,,,,,,,,,,,,,,
Confabb,USA,CA,SF Bay Area,Redwood City,Social & Communication, Social Media ,2006-06-01,200000.0,1.0,2007-08-01,2007-08-01,closed,,,,,,,200000.0,,,,,,,,,,,,,,
Confer,USA,OH,Akron - Canton,Wooster,Software & SaaS, Enterprise Software ,2009-06-01,400000.0,2.0,2009-06-01,2010-06-01,operating,400000.0,,,,,,,,,,,,,,,,,,,,
Confer Technologies,USA,MA,Boston,Waltham,Security, Security ,2013-01-01,16000000.0,1.0,2014-01-15,2014-01-15,operating,,8000000.0,,,,,,,,,,,,8000000.0,,,,,,,
Conference Hound,USA,CA,SF Bay Area,San Francisco,Analytics & AI, Analytics ,2010-01-01,1900000.0,5.0,2011-03-15,2013-09-12,operating,1700000.0,200000.0,,,,,,,,,,,,,,,,,,,
Conferize,DNK,,Copenhagen,Copenhagen,E-Commerce & Retail, Curated Web ,2010-01-01,1838000.0,2.0,2012-11-03,2013-09-18,operating,1838000.0,,,,,,,,,,,,,,,,,,,,
Confetti Games,BGR,,BGR - Other,,Entertainment & Media, Games ,2012-01-01,32059.0,1.0,2013-04-01,2013-04-01,operating,32059.0,,,,,,,,,,,,,,,,,,,,
Confide,USA,NY,New York City,New York,Social & Communication, Messaging ,2013-12-01,1900000.0,1.0,2014-02-04,2014-02-04,operating,1900000.0,,,,,,,,,,,,,,,,,,,,
Confident Technologies,USA,CA,San Diego,Solana Beach,Software & SaaS, Enterprise Software ,1998-01-01,14180000.0,2.0,2010-01-29,2014-08-05,operating,,7090000.0,,,,,,,,,,,,1500000.0,5590000.0,,,,,,
Confidex,FIN,,Tampere,Tampere,Hardware & Semiconductors, Hardware + Software ,,3760000.0,1.0,2010-02-01,2010-02-01,operating,,3760000.0,,,,,,,,,,,,,,,,,,,
Config Consultants,USA,CA,SF Bay Area,Santa Clara,Software & SaaS, Consulting ,2005-06-01,66033.0,1.0,2013-05-08,2013-05-08,operating,66033.0,,,,,,,,,,,,,,,,,,,,
Confluence Discovery Technologies,USA,MO,St. Louis,St Louis,Biotechnology, Biotechnology ,,75000.0,1.0,2011-01-01,2011-01-01,operating,75000.0,,,,,,,,,,,,,,,,,,,,
Confluence Life Sciences,USA,MO,St. Louis,St Louis,Biotechnology, Biotechnology ,,11970000.0,5.0,2011-04-01,2014-02-19,operating,970000.0,5500000.0,,,,,,,,,,,,5500000.0,,,,,,,
Confluence Solar,USA,MO,St. Louis,Hazelwood,Clean Tech & Energy, Clean Technology ,,25400000.0,1.0,2008-09-24,2008-09-24,acquired,,12700000.0,,,,,,,,,,,,12700000.0,,,,,,,
Confluence Technologies,USA,PA,Pittsburgh,Pittsburgh,Finance & FinTech, Finance ,,60000000.0,1.0,2006-08-24,2006-08-24,operating,,,,,,,,,60000000.0,,,,,,,,,,,,
Confluent,USA,CA,SF Bay Area,Mountain View,Software & SaaS, Technology ,,6900000.0,1.0,2014-11-06,2014-11-06,operating,6900000.0,,,,,,,,,,,,,,,,,,,,
Conformia Software,USA,CA,SF Bay Area,Sunnyvale,Software & SaaS, Software ,,42500000.0,3.0,2006-10-01,2008-07-23,acquired,,27250000.0,,,,,,,,,,,,,,12300000.0,2950000.0,,,,
Conformiq,USA,CA,SF Bay Area,Saratoga,Software & SaaS, Software ,,8836723.0,2.0,2008-08-08,2009-02-13,operating,,8836723.0,,,,,,,,,,,,,,,,,,,
ConforMIS,USA,MA,Boston,Burlington,Biotechnology, Biotechnology ,2004-01-01,436800000.0,3.0,2009-08-10,2013-08-02,operating,,217700000.0,,,,,,1400000.0,,,,,,,,,50000000.0,167700000.0,,,
Conformity,USA,TX,Austin,Austin,Software & SaaS, Enterprise Software ,2007-07-01,6000000.0,1.0,2009-01-28,2009-01-28,closed,,3000000.0,,,,,,,,,,,,3000000.0,,,,,,,
ConfortVisuel,FRA,,Paris,Paris,E-Commerce & Retail, E-Commerce ,2004-01-01,2570000.0,1.0,2010-09-14,2010-09-14,operating,,2570000.0,,,,,,,,,,,,,,,,,,,
Congo,USA,CO,Denver,Boulder,Software & SaaS, Information Technology ,2013-01-01,1750000.0,1.0,2014-01-07,2014-01-07,operating,1750000.0,,,,,,,,,,,,,,,,,,,,
Congo Capital Management,USA,NJ,Newark,Red Bank,,,,1060000.0,2.0,2012-08-16,2013-09-01,operating,,,,,,,1060000.0,,,,,,,,,,,,,,
Conisus,USA,GA,Atlanta,Atlanta,Healthcare, Health Care ,1995-01-01,46500000.0,1.0,2013-01-08,2013-01-08,operating,,,,,,46500000.0,,,,,,,,,,,,,,,
Conject,DEU,,Munich,Munich,Real Estate, Real Estate ,,5000000.0,1.0,2008-09-01,2008-09-01,operating,,5000000.0,,,,,,,,,,,,,,,,,,,
Conjecta,USA,NC,Charlotte,Charlotte,Finance & FinTech, Finance ,2011-03-01,100000.0,1.0,2011-03-01,2011-03-01,operating,100000.0,,,,,,,,,,,,,,,,,,,,
ConjuGon,USA,WI,Madison,Madison,Biotechnology, Biotechnology ,2001-01-01,5820000.0,3.0,2006-12-13,2013-12-06,operating,,5225000.0,,,595000.0,,,,,,,,,,,,,,,,
Conjunct,GBR,,Livingston,Livingston,Software & SaaS, Web Hosting ,2004-01-01,1467700.0,2.0,2010-05-19,2011-12-22,operating,,934850.0,,,,,,,,,,,,,,532850.0,,,,,
Conkwest,USA,CA,CA - Other,Cardiff By The Sea,Biotechnology, Biotechnology ,,6504875.0,1.0,2014-04-17,2014-04-17,operating,,6504875.0,,,,,,,,,,,,,,,,,,,
Conmio,FIN,,Helsinki,Helsinki,Mobile, Mobile ,2002-01-01,4000000.0,1.0,2010-01-26,2010-01-26,operating,,2000000.0,,,,,,,,,,,,2000000.0,,,,,,,
Connect,USA,CA,SF Bay Area,San Francisco,Social & Communication, Messaging ,2012-06-01,7800000.0,3.0,2012-10-01,2014-06-04,operating,7800000.0,,,,,,,,,,,,,,,,,,,,
Connect Financial Software Solutions,USA,UT,Salt Lake City,Murray,Software & SaaS, Software ,2007-01-01,3325000.0,4.0,2010-02-05,2014-04-22,,500000.0,500000.0,,,,2325000.0,,,,,,,,,,,,,,,
Connect Media Interactive,KEN,,Nairobi,Nairobi,Other, SMS ,2007-01-01,1500000.0,1.0,2012-01-12,2012-01-12,operating,,,,,,,,,1500000.0,,,,,,,,,,,,
Connect Technology Group,GBR,,Lancashire,,Software & SaaS, Software ,,217158.0,1.0,2012-09-12,2012-09-12,operating,,,,217158.0,,,,,,,,,,,,,,,,,
Connect2me,RUS,,Moscow,Moscow,Software & SaaS, Internet ,,500000.0,2.0,2011-03-01,2012-05-01,operating,500000.0,,,,,,,,,,,,,,,,,,,,
ConnectAndSell,USA,CA,SF Bay Area,San Mateo,Software & SaaS, Enterprise Software ,2007-01-01,15950000.0,2.0,2011-02-09,2014-03-26,operating,,8450000.0,,,,,,,,,,,,,,7500000.0,,,,,
Connectbeam,USA,CA,SF Bay Area,Mountain View,Software & SaaS, Software ,2005-01-01,7000000.0,1.0,2007-07-17,2007-07-17,operating,,3500000.0,,,,,,,,,,,,3500000.0,,,,,,,
